,#bytes,#repetitions,t[usec],Mbytes/sec
,0,1000,0.48,0.00
,1,1000,0.50,1.98
,2,1000,0.50,4.03
,4,1000,0.48,8.28
,8,1000,0.50,15.97
,16,1000,0.49,32.84
,32,1000,0.49,65.17
,64,1000,0.49,131.28
,128,1000,0.50,255.26
,256,1000,0.51,506.06
,512,1000,0.75,685.51
,1024,1000,0.82,1250.00
,2048,1000,0.93,2199.96
,4096,1000,1.15,3557.25
,8192,1000,1.58,5181.13
,16384,1000,2.38,6870.57
,32768,1000,3.53,9291.61
,65536,640,5.81,11285.50
,131072,320,8.65,15149.35
,262144,160,15.51,16896.40
,524288,80,41.08,12763.84
,1048576,40,81.82,12816.00
,2097152,20,164.60,12740.86
,4194304,10,401.24,10453.42
,8388608,5,1020.61,8219.19
,16777216,2,2177.83,7703.63
,33554432,1,6033.01,5561.80
,67108864,1,12383.76,5419.10
,134217728,1,25581.37,5246.70
,268435456,1,52175.63,5144.84
