#header_line 1: command line used: mpirun -np 2 -genv I_MPI_DEBUG=4 -genv I_MPI_PIN_PROCESSOR_LIST=0,1 -genv I_MPI_OFI_PROVIDER=mlx ./IMB-MPI1 PingPong -msglog 28
#header_line 2: list of nodes involved: ct1pt-tnode007
#header_line 3: (latency, bandwidth) computed by fitting data = (-48.21,4305.2)
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec computed
0,1000,0.42,0.0,-48.21,-0.0
1,1000,0.43,2.34,-48.21,-0.02
2,1000,0.43,4.66,-48.21,-0.04
4,1000,0.43,9.41,-48.21,-0.08
8,1000,0.43,18.74,-48.21,-0.17
16,1000,0.43,37.18,-48.21,-0.33
32,1000,0.46,69.4,-48.2,-0.66
64,1000,0.46,137.95,-48.19,-1.33
128,1000,0.56,227.81,-48.18,-2.66
256,1000,0.62,411.79,-48.15,-5.32
512,1000,0.83,616.16,-48.09,-10.65
1024,1000,0.9,1134.46,-47.97,-21.35
2048,1000,1.07,1911.21,-47.73,-42.91
4096,1000,1.48,2763.58,-47.26,-86.67
8192,1000,1.92,4263.41,-46.31,-176.89
16384,1000,3.25,5046.85,-44.4,-369.01
32768,1000,5.08,6452.78,-40.6,-807.09
65536,640,9.22,7105.54,-32.99,-1986.54
131072,320,17.77,7374.06,-17.76,-7380.18
262144,160,34.09,7689.68,12.68,20673.82
524288,80,82.17,6380.91,73.57,7126.38
1048576,40,166.62,6293.34,195.35,5367.68
2097152,20,330.71,6341.32,438.91,4778.09
4194304,10,657.58,6378.43,926.03,4529.34
8388608,5,1359.85,6168.76,1900.27,4414.43
16777216,2,3814.53,4398.24,3848.75,4359.13
33554432,1,7775.93,4315.17,7745.7,4332.01
67108864,1,15504.59,4328.32,15539.61,4318.57
134217728,1,31176.31,4305.12,31127.43,4311.88
268435456,1,62307.7,4308.22,62303.06,4308.54
