#header_line 1: command line used: mpirun -np 2 -genv I_MPI_DEBUG=4 -genv I_MPI_PIN_PROCESSOR_LIST=0,22 -genv I_MPI_OFI_PROVIDER=verbs ./IMB-MPI1 PingPong -msglog 28
#header_line 2: list of nodes involved: ct1pt-tnode007
#header_line 3: (latency, bandwidth) computed by fitting data = (-86.24,5576.5)
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec computed
0,1000,0.25,0.0,-86.24,-0.0
1,1000,0.25,3.98,-86.24,-0.01
2,1000,0.25,7.91,-86.24,-0.02
4,1000,0.25,16.06,-86.24,-0.05
8,1000,0.25,31.99,-86.24,-0.09
16,1000,0.25,63.7,-86.24,-0.19
32,1000,0.26,121.98,-86.24,-0.37
64,1000,0.26,242.75,-86.23,-0.74
128,1000,0.27,478.85,-86.22,-1.48
256,1000,0.3,842.52,-86.2,-2.97
512,1000,0.44,1169.74,-86.15,-5.94
1024,1000,0.47,2199.53,-86.06,-11.9
2048,1000,0.6,3404.63,-85.87,-23.85
4096,1000,0.88,4654.57,-85.51,-47.9
8192,1000,1.4,5834.89,-84.77,-96.64
16384,1000,2.32,7074.42,-83.3,-196.69
32768,1000,3.46,9471.87,-80.37,-407.71
65536,640,5.62,11654.12,-74.49,-879.8
131072,320,8.54,15347.85,-62.74,-2089.13
262144,160,14.89,17600.27,-39.23,-6682.23
524288,80,40.28,13015.54,7.78,67389.2
1048576,40,80.43,13036.83,101.79,10301.37
2097152,20,153.07,13700.88,289.83,7235.8
4194304,10,385.53,10879.35,665.9,6298.7
8388608,5,1109.1,7563.42,1418.04,5915.64
16777216,2,2555.8,6564.38,2922.32,5741.06
33554432,1,5820.11,5765.25,5930.88,5657.58
67108864,1,11641.41,5764.67,11948.01,5616.74
134217728,1,23379.02,5740.95,23982.26,5596.54
268435456,1,48480.78,5536.95,48050.76,5586.5
