#header_line 1: command line used: mpirun -np 2 -genv I_MPI_DEBUG=4 -genv I_MPI_PIN_PROCESSOR_LIST=0,23 ./IMB-MPI1 PingPong -msglog 28
#header_line 2: list of nodes involved: ct1pt-tnode007
#header_line 3: (latency, bandwidth) computed by fitting data = (-44.08,4313.5)
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec computed
0,1000,0.42,0.0,-44.08,-0.0
1,1000,0.43,2.34,-44.08,-0.02
2,1000,0.43,4.66,-44.08,-0.05
4,1000,0.43,9.28,-44.08,-0.09
8,1000,0.43,18.76,-44.08,-0.18
16,1000,0.43,37.27,-44.08,-0.36
32,1000,0.46,69.13,-44.07,-0.73
64,1000,0.46,138.24,-44.07,-1.45
128,1000,0.57,225.51,-44.05,-2.91
256,1000,0.61,417.39,-44.02,-5.82
512,1000,0.83,616.95,-43.96,-11.65
1024,1000,0.91,1131.16,-43.84,-23.36
2048,1000,1.07,1918.85,-43.61,-46.96
4096,1000,1.48,2769.26,-43.13,-94.97
8192,1000,1.98,4147.53,-42.18,-194.22
16384,1000,3.33,4923.17,-40.28,-406.75
32768,1000,5.11,6411.37,-36.48,-898.25
65536,640,9.19,7127.95,-28.89,-2268.47
131072,320,17.86,7339.41,-13.69,-9574.29
262144,160,34.24,7655.32,16.69,15706.65
524288,80,81.82,6407.51,77.46,6768.5
1048576,40,166.74,6288.53,199.01,5268.96
2097152,20,330.47,6345.91,442.1,4743.61
4194304,10,656.48,6389.11,928.28,4518.36
8388608,5,1364.02,6149.91,1900.63,4413.59
16777216,2,3838.76,4370.48,3845.35,4362.99
33554432,1,7792.24,4306.13,7734.77,4338.13
67108864,1,15549.29,4315.88,15513.63,4325.8
134217728,1,31100.19,4315.66,31071.34,4319.66
268435456,1,62178.6,4317.17,62186.76,4316.6
