#header_line 1: command line used: mpirun -np 2 -genv I_MPI_DEBUG=4 -genv I_MPI_PIN_PROCESSOR_LIST=0,22 -genv I_MPI_FABRICS=shm ./IMB-MPI1 PingPong -msglog 28
#header_line 2: list of nodes involved: ct1pt-tnode007
#header_line 3: (latency, bandwidth) computed by fitting data = (-88.67,5559.6)
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec computed
0,1000,0.27,0.0,-88.67,-0.0
1,1000,0.22,4.48,-88.67,-0.01
2,1000,0.23,8.74,-88.67,-0.02
4,1000,0.22,17.9,-88.67,-0.05
8,1000,0.22,35.8,-88.67,-0.09
16,1000,0.23,70.69,-88.66,-0.18
32,1000,0.24,133.81,-88.66,-0.36
64,1000,0.24,267.35,-88.65,-0.72
128,1000,0.25,503.9,-88.64,-1.44
256,1000,0.28,920.94,-88.62,-2.89
512,1000,0.43,1188.28,-88.57,-5.78
1024,1000,0.44,2315.48,-88.48,-11.57
2048,1000,0.58,3540.58,-88.3,-23.19
4096,1000,0.85,4793.09,-87.93,-46.58
8192,1000,1.44,5685.57,-87.19,-93.96
16384,1000,2.38,6882.92,-85.72,-191.13
32768,1000,3.57,9183.45,-82.77,-395.89
65536,640,5.74,11426.3,-76.88,-852.45
131072,320,8.67,15109.75,-65.09,-2013.7
262144,160,15.01,17461.17,-41.52,-6313.68
524288,80,40.23,13032.98,5.64,92958.87
1048576,40,80.35,13049.57,99.94,10492.06
2097152,20,152.38,13762.54,288.54,7268.15
4194304,10,382.11,10976.75,665.75,6300.12
8388608,5,1107.26,7575.98,1420.18,5906.72
16777216,2,2555.64,6564.77,2929.02,5727.93
33554432,1,5835.64,5749.92,5946.71,5642.52
67108864,1,11641.04,5764.85,11982.08,5600.77
134217728,1,23422.89,5730.2,24052.82,5580.12
268435456,1,48646.9,5518.04,48194.31,5569.86
