 15.3428421670, 15.3428421670, 15.0614033560, 15.0614033560,12019999.9907,112.625808256    
 15.3367312560, 15.3367312560, 15.0648341670, 15.0648341670,1999999.99988,112.670683939    
 15.3313810460, 15.3313810460, 15.0595016990, 15.0595016990,425925.925769,112.710002759    
 15.3371196360, 15.3371196360, 15.0650301040, 15.0650301040,126543.209762,112.667830793    
 15.3324767400, 15.3324767400, 15.0601374950, 15.0601374950,51826.1316912,112.701948244    
 15.3358753230, 15.3358753230, 15.0641355900, 15.0641355900,26702.1350987,112.676972367    
 15.3313284840, 15.3313284840, 15.0593683360, 15.0593683360,15893.9988922,112.710389175    
 15.3364452680, 15.3364452680, 15.0647994700, 15.0647994700,10378.2429895,112.672784977    
 15.3309101990, 15.3309101990, 15.0588074810, 15.0588074810,7222.26329851,112.713464339    
 15.3380130440, 15.3380130440, 15.0661057330, 15.0661057330,5266.18987139,112.661268121    
