#header_line 1: command line used: mpirun -np 2 -genv I_MPI_DEBUG=4 -genv I_MPI_PIN_PROCESSOR_LIST=0,32 -genv I_MPI_OFI_PROVIDER=verbs ./IMB-MPI1 PingPong -msglog 28
#header_line 2: list of nodes involved: ct1pg-gnode001
#header_line 3: (latency, bandwidth) computed by fitting data = (-98.06,4345.7)
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec computed
0,1000,0.49,0.0,-98.06,-0.0
1,1000,0.48,2.07,-98.06,-0.01
2,1000,0.49,4.07,-98.06,-0.02
4,1000,0.48,8.28,-98.06,-0.04
8,1000,0.49,16.37,-98.06,-0.08
16,1000,0.48,33.13,-98.06,-0.16
32,1000,0.5,64.12,-98.06,-0.33
64,1000,0.5,127.13,-98.05,-0.65
128,1000,0.61,209.01,-98.03,-1.31
256,1000,0.64,397.17,-98.0,-2.61
512,1000,0.97,525.44,-97.95,-5.23
1024,1000,1.03,998.0,-97.83,-10.47
2048,1000,1.16,1771.19,-97.59,-20.99
4096,1000,1.58,2594.12,-97.12,-42.17
8192,1000,2.17,3772.71,-96.18,-85.17
16384,1000,3.43,4777.75,-94.29,-173.76
32768,1000,5.31,6176.25,-90.52,-362.0
65536,640,9.33,7021.72,-82.98,-789.78
131072,320,15.25,8592.22,-67.9,-1930.37
262144,160,30.37,8631.16,-37.74,-6946.05
524288,80,65.15,8047.8,22.58,23219.13
1048576,40,130.52,8034.13,143.23,7320.92
2097152,20,254.06,8254.67,384.52,5453.95
4194304,10,502.05,8354.37,867.1,4837.16
8388608,5,1068.08,7853.88,1832.26,4578.28
16777216,2,2339.55,7171.11,3762.58,4458.97
33554432,1,7805.09,4299.05,7623.22,4401.61
67108864,1,15668.67,4283.0,15344.5,4373.48
134217728,1,31216.76,4299.54,30787.07,4359.55
268435456,1,61472.93,4366.73,61672.2,4352.62
