#header_line 1: command line used: mpirun -np 2 -genv I_MPI_DEBUG=4 -genv I_MPI_PIN_PROCESSOR_LIST=0,1 -genv I_MPI_FABRICS=shm ./IMB-MPI1 PingPong -msglog 28
#header_line 2: list of nodes involved: ct1pg-gnode001
#header_line 3: (latency, bandwidth) computed by fitting data = (-110.95,4276.4)
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec computed
0,1000,0.44,0.0,-110.95,-0.0
1,1000,0.45,2.24,-110.95,-0.01
2,1000,0.45,4.48,-110.95,-0.02
4,1000,0.44,9.01,-110.95,-0.04
8,1000,0.45,17.92,-110.95,-0.07
16,1000,0.44,36.11,-110.94,-0.14
32,1000,0.49,65.0,-110.94,-0.29
64,1000,0.48,131.99,-110.93,-0.58
128,1000,0.6,212.54,-110.92,-1.15
256,1000,0.63,405.26,-110.89,-2.31
512,1000,0.97,527.06,-110.83,-4.62
1024,1000,0.98,1041.89,-110.71,-9.25
2048,1000,1.13,1809.19,-110.47,-18.54
4096,1000,1.51,2708.62,-109.99,-37.24
8192,1000,2.06,3984.81,-109.03,-75.14
16384,1000,3.57,4592.3,-107.12,-152.95
32768,1000,5.36,6108.53,-103.29,-317.24
65536,640,9.27,7072.0,-95.62,-685.38
131072,320,15.07,8699.0,-80.3,-1632.28
262144,160,29.39,8919.56,-49.65,-5279.84
524288,80,66.7,7860.97,11.65,45003.26
1048576,40,132.09,7938.53,134.25,7810.62
2097152,20,258.95,8098.68,379.46,5526.67
4194304,10,509.42,8233.49,869.86,4821.82
8388608,5,1077.27,7786.95,1850.67,4532.74
16777216,2,2363.59,7098.19,3812.28,4400.84
33554432,1,7834.84,4282.72,7735.51,4337.71
67108864,1,15732.34,4265.66,15581.96,4306.83
134217728,1,31592.68,4248.38,31274.87,4291.55
268435456,1,62572.78,4289.97,62660.69,4283.95
