#header_line 1: command line used: mpirun -np 2 -genv I_MPI_DEBUG=4 -genv I_MPI_PIN_PROCESSOR_LIST=0,2 -genv I_MPI_OFI_PROVIDER=verbs ./IMB-MPI1 PingPong -msglog 28
#header_line 2: list of nodes involved: ct1pg-gnode001
#header_line 3: (latency, bandwidth) computed by fitting data = (-129.56,5134.2)
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec computed
0,1000,0.29,0.0,-129.56,-0.0
1,1000,0.3,3.36,-129.56,-0.01
2,1000,0.29,6.78,-129.56,-0.02
4,1000,0.29,13.68,-129.56,-0.03
8,1000,0.29,27.77,-129.56,-0.06
16,1000,0.29,54.42,-129.56,-0.12
32,1000,0.31,104.09,-129.56,-0.25
64,1000,0.3,211.59,-129.55,-0.49
128,1000,0.31,417.65,-129.54,-0.99
256,1000,0.33,781.76,-129.51,-1.98
512,1000,0.56,919.4,-129.46,-3.95
1024,1000,0.62,1659.31,-129.36,-7.92
2048,1000,0.75,2732.03,-129.16,-15.86
4096,1000,0.96,4288.03,-128.77,-31.81
8192,1000,1.49,5483.59,-127.97,-64.02
16384,1000,2.41,6799.07,-126.37,-129.65
32768,1000,3.58,9142.47,-123.18,-266.02
65536,640,5.93,11058.54,-116.8,-561.1
131072,320,8.77,14951.26,-104.03,-1259.94
262144,160,15.58,16827.76,-78.51,-3338.99
524288,80,42.03,12473.06,-27.45,-19099.74
1048576,40,83.66,12533.59,74.67,14042.8
2097152,20,165.28,12688.27,278.9,7519.37
4194304,10,398.49,10525.51,687.37,6101.96
8388608,5,1046.25,8017.77,1504.3,5576.42
16777216,2,2185.36,7677.08,3138.16,5346.2
33554432,1,6027.32,5567.06,6405.88,5238.07
67108864,1,12426.92,5400.28,12941.33,5185.62
134217728,1,25692.68,5223.97,26012.22,5159.8
268435456,1,52568.57,5106.39,52153.99,5146.98
