#header_line 1: command line used: mpirun -np 2 -genv I_MPI_DEBUG=4 -genv I_MPI_PIN_PROCESSOR_LIST=0,1 ./IMB-MPI1 PingPong -msglog 28
#header_line 2: list of nodes involved: ct1pg-gnode001
#header_line 3: (latency, bandwidth) computed by fitting data = (-109.26,4278.7)
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec computed
0,1000,0.47,0.0,-109.26,-0.0
1,1000,0.48,2.1,-109.26,-0.01
2,1000,0.48,4.2,-109.26,-0.02
4,1000,0.47,8.43,-109.26,-0.04
8,1000,0.48,16.74,-109.26,-0.07
16,1000,0.47,33.73,-109.26,-0.15
32,1000,0.5,63.68,-109.26,-0.29
64,1000,0.5,128.54,-109.25,-0.59
128,1000,0.6,214.87,-109.23,-1.17
256,1000,0.63,407.65,-109.2,-2.34
512,1000,0.98,523.37,-109.14,-4.69
1024,1000,1.02,1003.14,-109.03,-9.39
2048,1000,1.17,1757.13,-108.79,-18.83
4096,1000,1.63,2514.7,-108.31,-37.82
8192,1000,2.14,3823.56,-107.35,-76.31
16384,1000,3.48,4711.84,-105.44,-155.39
32768,1000,5.3,6188.38,-101.61,-322.49
65536,640,9.29,7053.68,-93.95,-697.56
131072,320,15.16,8648.22,-78.63,-1666.95
262144,160,28.61,9162.05,-48.0,-5461.33
524288,80,65.54,7999.13,13.27,39509.27
1048576,40,131.99,7944.16,135.81,7720.9
2097152,20,256.72,8168.94,380.88,5506.07
4194304,10,508.87,8242.43,871.02,4815.39
8388608,5,1056.22,7942.11,1851.29,4531.22
16777216,2,2300.42,7293.12,3811.85,4401.33
33554432,1,7875.44,4260.64,7732.97,4339.14
67108864,1,15845.36,4235.24,15575.21,4308.7
134217728,1,31569.26,4251.53,31259.68,4293.64
268435456,1,62514.18,4293.99,62628.63,4286.15
