#header_line 1: command line used: mpirun -np 2 -genv I_MPI_DEBUG=4 -genv I_MPI_PIN_PROCESSOR_LIST=0,23 -genv I_MPI_OFI_PROVIDER=tcp ./IMB-MPI1 PingPong -msglog 28
#header_line 2: list of nodes involved: ct1pg-gnode001
#header_line 3: (latency, bandwidth) computed by fitting data = (-106.0,4329.7)
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec computed
0,1000,0.67,0.0,-106.0,-0.0
1,1000,0.66,1.51,-106.0,-0.01
2,1000,0.66,3.02,-106.0,-0.02
4,1000,0.66,6.09,-106.0,-0.04
8,1000,0.66,12.19,-106.0,-0.08
16,1000,0.65,24.74,-106.0,-0.15
32,1000,0.7,45.43,-105.99,-0.3
64,1000,0.68,93.89,-105.99,-0.6
128,1000,0.73,175.68,-105.97,-1.21
256,1000,0.68,378.21,-105.94,-2.42
512,1000,1.19,431.08,-105.88,-4.84
1024,1000,1.25,819.32,-105.77,-9.68
2048,1000,1.38,1483.13,-105.53,-19.41
4096,1000,1.8,2277.14,-105.06,-38.99
8192,1000,2.42,3386.0,-104.11,-78.69
16384,1000,3.58,4576.17,-102.22,-160.28
32768,1000,5.39,6077.13,-98.43,-332.91
65536,640,9.31,7035.93,-90.87,-721.21
131072,320,15.3,8568.73,-75.73,-1730.78
262144,160,28.95,9054.31,-45.46,-5766.48
524288,80,67.4,7778.19,15.09,34744.07
1048576,40,130.85,8013.39,136.18,7699.93
2097152,20,253.34,8277.88,378.37,5542.6
4194304,10,503.59,8328.86,862.73,4861.66
8388608,5,1057.45,7932.83,1831.47,4580.26
16777216,2,2330.94,7197.62,3768.94,4451.44
33554432,1,7836.99,4281.55,7643.89,4389.71
67108864,1,15536.52,4319.43,15393.78,4359.48
134217728,1,31246.62,4295.43,30893.56,4344.52
268435456,1,61777.18,4345.22,61893.13,4337.08
