 22.4305043540, 22.4304720100, 21.9304030910, 22.0905154880,30273624.9756,308.209414995    
 22.4183786130, 22.4183748060, 21.9272996820, 22.0917012130,5040312.49979,308.376120519    
 22.4194641560, 22.4194618810, 21.9246101770, 22.0928898830,1073399.88388,308.361189050    
 22.4319143630, 22.4319113980, 21.9379667750, 22.1053650700,318908.661067,308.190041792    
 22.4244413840, 22.4244336070, 21.9373631050, 22.0978394270,130609.949664,308.292746589    
 22.4287478840, 22.4287399350, 21.9396944690, 22.1021717410,67293.5526580,308.233551902    
 22.4254485040, 22.4254409930, 21.9371527930, 22.0987935470,40055.3606364,308.278901257    
 22.4212160390, 22.4212132610, 21.9310464420, 22.0947469260,26154.7939373,308.337095230    
 22.4216443200, 22.4216416730, 21.9329202540, 22.0950624170,18201.2319994,308.331205612    
 22.4194124440, 22.4194100240, 21.9303722030, 22.0928019790,13271.6213124,308.361900307    
