,#bytes,#repetitions,t[usec],Mbytes/sec
,0,1000,0.48,0.00
,1,1000,0.48,2.10
,2,1000,0.49,4.12
,4,1000,0.48,8.34
,8,1000,0.48,16.66
,16,1000,0.48,33.30
,32,1000,0.50,64.32
,64,1000,0.50,127.63
,128,1000,0.60,213.25
,256,1000,0.64,401.21
,512,1000,0.98,524.07
,1024,1000,1.01,1010.60
,2048,1000,1.16,1763.16
,4096,1000,1.63,2518.11
,8192,1000,2.07,3961.42
,16384,1000,3.72,4399.76
,32768,1000,5.32,6164.80
,65536,640,9.07,7222.97
,131072,320,15.05,8707.47
,262144,160,28.51,9196.06
,524288,80,66.99,7826.70
,1048576,40,132.37,7921.28
,2097152,20,255.93,8194.15
,4194304,10,512.92,8177.31
,8388608,5,1064.87,7877.62
,16777216,2,2347.79,7145.96
,33554432,1,7906.51,4243.90
,67108864,1,15817.20,4242.78
,134217728,1,31596.36,4247.89
,268435456,1,62638.57,4285.47
