,#bytes,#repetitions,t[usec],Mbytes/sec
,0,1000,0.29,0.00
,1,1000,0.30,3.36
,2,1000,0.29,6.78
,4,1000,0.29,13.68
,8,1000,0.29,27.77
,16,1000,0.29,54.42
,32,1000,0.31,104.09
,64,1000,0.30,211.59
,128,1000,0.31,417.65
,256,1000,0.33,781.76
,512,1000,0.56,919.40
,1024,1000,0.62,1659.31
,2048,1000,0.75,2732.03
,4096,1000,0.96,4288.03
,8192,1000,1.49,5483.59
,16384,1000,2.41,6799.07
,32768,1000,3.58,9142.47
,65536,640,5.93,11058.54
,131072,320,8.77,14951.26
,262144,160,15.58,16827.76
,524288,80,42.03,12473.06
,1048576,40,83.66,12533.59
,2097152,20,165.28,12688.27
,4194304,10,398.49,10525.51
,8388608,5,1046.25,8017.77
,16777216,2,2185.36,7677.08
,33554432,1,6027.32,5567.06
,67108864,1,12426.92,5400.28
,134217728,1,25692.68,5223.97
,268435456,1,52568.57,5106.39
