,#bytes,#repetitions,t[usec],Mbytes/sec
,0,1000,0.29,0.00
,1,1000,0.30,3.36
,2,1000,0.29,6.87
,4,1000,0.29,13.60
,8,1000,0.29,27.31
,16,1000,0.30,53.54
,32,1000,0.35,90.50
,64,1000,0.36,179.38
,128,1000,0.46,278.12
,256,1000,0.49,520.15
,512,1000,0.57,904.57
,1024,1000,0.67,1531.50
,2048,1000,0.89,2301.00
,4096,1000,1.27,3219.79
,8192,1000,2.01,4071.13
,16384,1000,4.03,4066.90
,32768,1000,4.82,6796.64
,65536,640,6.61,9909.44
,131072,320,8.73,15018.25
,262144,160,13.84,18943.96
,524288,80,24.77,21166.16
,1048576,40,60.29,17392.15
,2097152,20,151.16,13873.55
,4194304,10,335.28,12510.01
,8388608,5,951.77,8813.69
,16777216,2,2498.04,6716.15
,33554432,1,5454.47,6151.74
,67108864,1,11019.40,6090.06
,134217728,1,21881.00,6133.99
,268435456,1,43498.25,6171.18
