 22.0740532510, 22.0740532510, 21.7215891760, 21.7215891760,12019999.9907,78.2819530401    
 22.0665838970, 22.0665838970, 21.7221724680, 21.7221724680,1999999.99988,78.3084508262    
 22.0652931070, 22.0652931070, 21.7211464670, 21.7211464670,425925.925769,78.3130317653    
 22.0681748920, 22.0681748920, 21.7238657750, 21.7238657750,126543.209762,78.3028052141    
 22.0637751830, 22.0637751830, 21.7199367270, 21.7199367270,51826.1316912,78.3184194757    
 22.0628793140, 22.0628793140, 21.7187031360, 21.7187031360,26702.1350987,78.3215996157    
 22.0612183670, 22.0612183670, 21.7171492170, 21.7171492170,15893.9988922,78.3274962993    
 22.0683468720, 22.0683468720, 21.7236046050, 21.7236046050,10378.2429895,78.3021949955    
 22.0673299890, 22.0673299890, 21.7229910150, 21.7229910150,7222.26329851,78.3058032332    
 22.0680208600, 22.0680208600, 21.7238370770, 21.7238370770,5266.18987139,78.3033517578    
