 15.3571849210, 15.3571849210, 15.0829492790, 15.0829492790,12019999.9907,112.520622034    
 15.3189135310, 15.3189135310, 15.0530565610, 15.0530565610,1999999.99988,112.801733393    
 15.3469108090, 15.3469108090, 15.0811870710, 15.0811870710,425925.925769,112.595949863    
 15.3200957470, 15.3200957470, 15.0541279780, 15.0541279780,126543.209762,112.793028747    
 15.3455546870, 15.3455546870, 15.0797739600, 15.0797739600,51826.1316912,112.605900226    
 15.3193159240, 15.3193159240, 15.0534838580, 15.0534838580,26702.1350987,112.798770426    
 15.3451571980, 15.3451571980, 15.0794883500, 15.0794883500,15893.9988922,112.608817082    
 15.3190533190, 15.3190533190, 15.0533411040, 15.0533411040,10378.2429895,112.800704065    
 15.3462502140, 15.3462502140, 15.0803467330, 15.0803467330,7222.26329851,112.600796670    
 15.3193564070, 15.3193564070, 15.0537812260, 15.0537812260,5266.18987139,112.798472344    
