 22.0832081440, 22.0832081440, 21.7278615300, 21.7278615300,12019999.9907,78.2495001964    
 22.0735559170, 22.0735559170, 21.7263876910, 21.7263876910,1999999.99988,78.2837167921    
 22.0715703580, 22.0715703580, 21.7247173070, 21.7247173070,425925.925769,78.2907591971    
 22.0748318410, 22.0748318410, 21.7275167000, 21.7275167000,126543.209762,78.2791919978    
 22.0733523770, 22.0733523770, 21.7265085120, 21.7265085120,51826.1316912,78.2844386519    
 22.0721743600, 22.0721743600, 21.7251879010, 21.7251879010,26702.1350987,78.2886167813    
 22.0771987850, 22.0771987850, 21.7302461970, 21.7302461970,15893.9988922,78.2707995171    
 22.0771121790, 22.0771121790, 21.7296469410, 21.7296469410,10378.2429895,78.2711065645    
 22.0769343480, 22.0769343480, 21.7300020400, 21.7300020400,7222.26329851,78.2717370429    
 22.0776863690, 22.0776863690, 21.7307421720, 21.7307421720,5266.18987139,78.2690709125    
