 15.2365771370, 15.2365771370, 15.0450107790, 15.0450107790,12019999.9907,113.411298644    
 15.2344514390, 15.2344514390, 15.0445933680, 15.0445933680,1999999.99988,113.427123183    
 15.2320939450, 15.2320939450, 15.0441755000, 15.0441755000,425925.925769,113.444678469    
 15.2323178510, 15.2323178510, 15.0442598050, 15.0442598050,126543.209762,113.443010900    
 15.2312215650, 15.2312215650, 15.0433291760, 15.0433291760,51826.1316912,113.451176101    
 15.2312455900, 15.2312455900, 15.0432932680, 15.0432932680,26702.1350987,113.450997149    
 15.2312768560, 15.2312768560, 15.0433877500, 15.0433877500,15893.9988922,113.450764262    
 15.2327186430, 15.2327186430, 15.0447537120, 15.0447537120,10378.2429895,113.440026071    
 15.2315255330, 15.2315255330, 15.0436642170, 15.0436642170,7222.26329851,113.448912012    
 15.2319109960, 15.2319109960, 15.0438804030, 15.0438804030,5266.18987139,113.446041042    
